num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,timed_out
4,1,1,1,10000,1,0,1,42,0,1,0,0,1,0,nan,4,1.28353,0.0624573,2.108,-nan,29.9546,1,0,34.3057,62.6054,1
4,1,1,1,10000,1,0,1,42,1,1,0,0,1,0,nan,4,1.39729,0.106621,3.025,-nan,128.916,1,0,34.3057,62.6064,1
4,1,1,1,10000,1,0,1,42,2,1,0,0,1,0,nan,4,1.65569,0.0487137,1.797,-nan,119.704,1,0,34.3057,62.605,1
4,1,1,1,10000,1,0,1,42,3,1,0,0,1,0,nan,4,-1.74245,0.0462025,1.909,-nan,107.738,1,0,34.3057,62.6079,1
4,1,1,1,10000,1,0,1,42,4,1,0,0,1,0,nan,4,1.08711,0.0535322,1.755,-nan,96.0988,1,0,34.3057,62.6072,1
4,1,1,1,10000,1,0,1,42,5,1,0,0,1,0,nan,4,1.57858,0.0582803,2.389,-nan,94.7074,1,0,34.3057,62.6055,1
4,1,1,1,10000,1,0,1,42,6,1,0,0,1,0,nan,4,1.08737,0.0409819,1.806,-nan,105.793,1,0,34.3057,62.6088,1
4,1,1,1,10000,1,0,1,42,7,1,0,0,1,0,nan,4,1.17333,0.0490227,2.024,-nan,86.714,1,0,34.3057,62.6066,1
4,1,1,1,10000,1,0,1,42,8,1,0,0,1,1,5.4318e-06,4,1.2044,0.0453442,2.374,8.7394,109.919,1,5,37.9721,62.6143,1
4,1,1,1,10000,1,0.5,1,1042,0,1,0,0,1,0,nan,4,1.20991,0.0419653,1.796,-nan,51.0769,1,0,34.3057,62.6054,0
4,1,1,1,10000,1,0.5,1,1042,1,1,0,0,1,0,nan,4,1.09256,0.0405553,1.716,-nan,75.4723,1,0,34.3057,62.6052,0
4,1,1,1,10000,1,0.5,1,1042,2,1,0,0,1,1,5.0954e-08,4,1.12338,0.0405769,1.832,7.857,125.504,1,1,96.7554,72.6646,0
4,1,1,1,10000,1,0.5,1,1042,3,1,0,0,1,0,nan,4,1.31689,0.0539437,1.988,-nan,52.126,1,0,34.3057,62.6053,0
4,1,1,1,10000,1,0.5,1,1042,4,1,0,0,1,0,nan,4,1.14356,0.0472586,1.887,-nan,85.8032,1,0,34.3057,62.6046,0
4,1,1,1,10000,1,0.5,1,1042,5,1,0,0,1,0,nan,4,1.09914,0.0428274,1.687,-nan,23.551,1,0,34.3057,62.6046,0
4,1,1,1,10000,1,0.5,1,1042,6,1,0,0,1,0,nan,4,1.09509,0.0586249,1.845,-nan,47.0411,1,0,34.3057,62.6042,0
4,1,1,1,10000,1,0.5,1,1042,7,1,0,0,1,0,nan,4,1.17393,0.0592722,1.742,-nan,143.215,1,0,34.3057,62.6077,0
4,1,1,1,10000,1,0.5,1,1042,8,1,0,0,1,0,nan,4,1.08483,0.0427754,1.665,-nan,77.1281,1,0,34.3057,62.6069,0
4,1,1,1,10000,1,0.5,1,1042,9,1,0,0,1,0,nan,4,1.10202,0.0425524,1.831,-nan,86.3768,1,0,34.3057,62.6052,0
