num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,config_timed_out
4,1,1,1,10000,1,1.5,1,3042,4,0,0,0,1,0,nan,4,0.97405,0.0398953,1.724,0,32.0503,1,0,34.3057,62.6062,0
4,1,1,1,10000,1,1.5,1,3042,5,0,0,0,1,0,nan,4,0.992872,0.0367342,1.69,0,89.1245,1,0,34.3057,62.6065,0
4,1,1,1,10000,1,1.5,1,3042,6,0,0,0,1,0,nan,4,0.992678,0.0376861,1.811,0,67.7575,1,0,34.3057,62.6078,0
4,1,1,1,10000,1,1.5,1,3042,7,1,0,0,1,1,5.82069e-07,4,1.02079,0.0406037,1.741,6.8842,146.269,1,5,42.0426,67.648,0
4,1,1,1,10000,1,1.5,1,3042,8,0,0,0,1,0,2.63806e+11,4,0.973991,0.0379561,1.714,0,96.4417,1,0,34.3046,1059.38,0
4,1,1,1,10000,1,1.5,1,3042,9,0,0,0,1,0,nan,4,1.03384,0.0385588,1.749,0,43.5552,1,0,34.3057,62.608,0
4,1,1,1,10000,1,2,1,4042,0,0,0,0,1,0,nan,4,0.95347,0.0378663,1.566,0,28.354,1,0,34.3057,62.6078,0
4,1,1,1,10000,1,2,1,4042,1,0,0,0,1,0,nan,4,0.993784,0.0397394,1.731,0,58.0184,1,0,34.3057,62.6068,0
4,1,1,1,10000,1,2,1,4042,2,0,0,0,1,0,nan,4,1.13593,0.0590772,1.707,0,78.0365,1,0,34.3057,62.6069,0
4,1,1,1,10000,1,2,1,4042,3,1,0,0,1,1,9.7668e-07,4,0.978472,0.0380566,1.766,7.0435,69.406,1,2,43.661,68.0436,0
4,1,1,1,10000,1,2,1,4042,4,0,0,0,1,0,nan,4,0.97809,0.0383807,1.724,0,78.5799,1,0,34.3057,62.6063,0
4,1,1,1,10000,1,2,1,4042,5,0,0,0,1,0,nan,4,1.27734,0.0662222,1.798,0,68.9617,1,0,34.3057,62.6046,0
4,1,1,1,10000,1,2,1,4042,6,0,0,0,1,0,nan,4,0.963452,0.0383508,1.743,0,72.3562,1,0,34.3057,62.605,0
4,1,1,1,10000,1,2,1,4042,7,0,0,0,1,0,nan,4,0.977821,0.0367607,1.691,0,70.6514,1,0,34.3057,62.6046,0
4,1,1,1,10000,1,2,1,4042,8,1,0,0,1,1,1.75452e-06,4,1.02211,0.0378369,1.772,7.474,125.736,1,5,43.5133,67.9454,0
4,1,1,1,10000,1,2,1,4042,9,1,0,0,1,1,5.20848e-07,4,0.977949,0.0379402,1.798,6.758,139.211,1,2,43.6279,67.9686,0
4,1,1,1,10000,1,1,0,5042,0,0,0,0,1,0,8.13864e+10,4,0.99293,0.0396843,1.521,0,52.6003,1,0,34.3324,800.453,0
4,1,1,1,10000,1,1,0,5042,1,0,0,0,1,0,nan,4,0.962505,0.0378383,1.678,0,61.3088,1,0,34.3057,62.6087,0
4,1,1,1,10000,1,1,0,5042,2,0,0,0,1,0,nan,4,1.00094,0.038735,2.223,0,81.4638,1,0,34.3057,62.6064,0
4,1,1,1,10000,1,1,0,5042,3,0,0,0,1,0,nan,4,0.923405,0.0377227,1.629,0,55.7632,1,0,34.3057,62.6049,0
4,1,1,1,10000,1,1,0,5042,4,0,0,0,1,0,8.15218e+10,4,0.959742,0.0391736,1.713,0,60.0843,1,0,34.3233,800.035,0
4,1,1,1,10000,1,1,0,5042,5,0,0,0,1,0,nan,4,1.02494,0.0384279,1.749,0,84.9694,1,0,34.3057,62.6049,0
4,1,1,1,10000,1,1,0,5042,6,0,0,0,1,0,nan,4,0.974661,0.0395669,1.652,0,56.1807,1,0,34.3057,62.6055,0
4,1,1,1,10000,1,1,0,5042,7,0,0,0,1,0,nan,4,1.0009,0.0399844,1.869,0,99.2548,1,0,34.3057,62.6059,0
4,1,1,1,10000,1,1,0,5042,8,0,0,0,1,0,nan,4,0.98896,0.041208,1.73,0,33.7022,1,0,34.3057,62.6053,0
4,1,1,1,10000,1,1,0,5042,9,0,0,0,1,0,8.18098e+10,4,-1.44723,0.0391763,1.688,0,128.733,1,0,34.3209,801.419,0
4,1,1,1,10000,1,1,0.5,6042,0,0,0,0,1,0,8.2624e+10,4,0.947405,0.0381306,1.512,0,78.2395,1,0,34.3132,798.288,0
4,1,1,1,10000,1,1,0.5,6042,1,0,0,0,1,0,nan,4,0.957312,0.0395158,1.688,0,25.2025,1,0,34.3057,62.6059,0
4,1,1,1,10000,1,1,0.5,6042,2,0,0,0,1,0,nan,4,0.990565,0.0374836,1.667,0,105.645,1,0,34.3057,62.607,0
4,1,1,1,10000,1,1,0.5,6042,3,0,0,0,1,0,nan,4,0.978597,0.0386028,1.679,0,92.193,1,0,34.3057,62.6076,0
4,1,1,1,10000,1,1,0.5,6042,4,0,0,0,1,0,nan,4,0.952879,0.0377437,1.737,0,158.896,1,0,34.3057,62.6059,0
4,1,1,1,10000,1,1,0.5,6042,5,0,0,0,1,0,nan,4,0.98078,0.0366729,1.771,0,52.2996,1,0,34.3057,62.6075,0
4,1,1,1,10000,1,1,0.5,6042,6,0,0,0,1,0,nan,4,0.967811,0.0400266,1.662,0,50.4643,1,0,34.3057,62.6058,0
4,1,1,1,10000,1,1,0.5,6042,7,0,0,0,1,0,nan,4,0.969974,0.0388361,1.621,0,112.606,1,0,34.3057,62.6061,0
4,1,1,1,10000,1,1,0.5,6042,8,0,0,0,1,0,nan,4,0.962727,0.0431751,1.661,0,52.189,1,0,34.3057,62.6049,0
4,1,1,1,10000,1,1,0.5,6042,9,0,0,0,1,0,nan,4,0.978369,0.0370867,1.664,0,45.1451,1,0,34.3057,62.6071,0
4,1,1,1,10000,1,1,1.5,7042,0,0,0,0,1,0,nan,4,0.975725,0.0373567,1.563,0,50.3376,1,0,34.3057,62.6051,0
4,1,1,1,10000,1,1,1.5,7042,1,0,0,0,1,0,nan,4,0.932971,0.0357495,1.573,0,82.0853,1,0,34.3057,62.6062,0
4,1,1,1,10000,1,1,1.5,7042,2,0,0,0,1,0,nan,4,0.968985,0.037541,1.675,0,37.8409,1,0,34.3057,62.6053,0
4,1,1,1,10000,1,1,1.5,7042,3,0,0,0,1,0,nan,4,0.93521,0.0364571,1.649,0,102.212,1,0,34.3057,62.6037,0
4,1,1,1,10000,1,1,1.5,7042,4,0,0,0,1,0,nan,4,0.937706,0.0450898,1.648,0,39.5748,1,0,34.3057,62.6091,0
4,1,1,1,10000,1,1,1.5,7042,5,1,0,0,1,1,3.26504e-06,4,0.978453,0.0384139,1.755,6.613,125.095,1,1,44.4797,66.3001,0
4,1,1,1,10000,1,1,1.5,7042,6,0,0,0,1,0,nan,4,0.973166,0.0407418,1.725,0,142.09,1,0,34.3057,62.608,0
4,1,1,1,10000,1,1,1.5,7042,7,0,0,0,1,0,nan,4,0.975151,0.0394162,1.693,0,46.6142,1,0,34.3057,62.6027,0
4,1,1,1,10000,1,1,1.5,7042,8,1,1,1,1,1,3.12838e-08,4,0.944652,0.0375184,1.652,6.25133,90.7652,1,15,47.3896,65.8451,0
4,1,1,1,10000,1,1,1.5,7042,9,0,0,0,1,0,nan,4,0.943028,0.0355828,1.767,0,118.028,1,0,34.3057,62.6063,0
4,1,1,1,10000,1,1,2,8042,0,0,0,0,1,0,nan,4,0.978997,0.0388523,1.539,0,81.142,1,0,34.3057,62.6051,0
