num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,config_timed_out
?,1.0,1.0,1.0,10000.0,1.0,1.0,1.0,42,0,0,0,0,0,0,nan,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
?,1.0,1.0,1.0,10000.0,1.0,1.0,1.0,42,1,0,0,0,0,0,nan,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
?,1.0,1.0,1.0,10000.0,1.0,1.0,1.0,42,2,0,0,0,0,0,nan,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
?,1.0,1.0,1.0,10000.0,1.0,1.0,1.0,42,3,0,0,0,0,0,nan,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
?,1.0,1.0,1.0,10000.0,1.0,1.0,1.0,42,4,0,0,0,0,0,nan,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
?,1.0,1.0,1.0,10000.0,1.0,1.0,1.0,42,5,0,0,0,0,0,nan,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
?,1.0,1.0,1.0,10000.0,1.0,1.0,1.0,42,6,0,0,0,0,0,nan,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
?,1.0,1.0,1.0,10000.0,1.0,1.0,1.0,42,7,0,0,0,0,0,nan,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
?,1.0,1.0,1.0,10000.0,1.0,1.0,1.0,42,8,0,0,0,0,0,nan,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
?,1.0,1.0,1.0,10000.0,1.0,1.0,1.0,42,9,0,0,0,0,0,nan,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
