num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,config_timed_out
4,1,1,1,10000,1,1,1,277,0,1,0,0,1,1,4.15875e-05,4,0.650344,0.00164464,1.828,8.369,28.3723,1,3,148.104,85.1831,0
4,1,1,1,10000,1,1,1,277,1,1,0,0,1,1,7.05925e-05,4,0.734301,0.00137303,1.965,8.33245,86.8541,1,11,282.404,106.913,0
4,1,1,1,10000,1,1,1,277,2,1,0,0,1,1,6.34693e-05,4,0.500385,0.000930392,1.635,7.48927,78.2907,1,11,186.564,91.494,0
4,1,1,1,10000,1,1,1,277,3,1,0,0,1,1,3.76732e-06,4,0.58504,0.000993572,1.618,6.71,9.76657,1,1,137.853,79.4231,0
4,1,1,1,10000,1,1,1,277,4,0,0,0,1,0,nan,4,0.644116,0.00101636,1.616,0,3.17724,1,0,35.5029,62.6014,0
4,1,1,1,10000,1,1,1,277,5,1,0,0,1,1,7.8287e-05,4,-2.30929,0.00121608,1.624,7.7065,31.8826,1,4,201.327,90.0138,0
4,1,1,1,10000,1,1,1,277,6,0,0,0,1,0,nan,4,0.566037,0.0011388,1.759,0,3.72681,1,0,35.5029,62.6049,0
4,1,1,1,10000,1,1,1,277,7,1,0,0,1,1,3.20329e-08,4,0.509836,0.00100154,2.162,7.12587,56.3003,1,8,183.883,89.2796,0
4,1,1,1,10000,1,1,1,277,8,1,0,0,1,1,6.39311e-05,4,0.526638,0.00118958,1.858,7.70767,48.0318,1,6,170.003,87.8216,0
4,1,1,1,10000,1,1,1,277,9,1,0,0,1,1,5.02713e-06,4,0.603428,0.00101428,1.784,7.6955,17.1052,1,2,147.465,86.9557,0
4,1,1,1,10000,1,1,1,277,10,1,0,0,1,1,2.6239e-06,4,0.598418,0.000884352,1.598,7.738,12.1251,1,1,137.794,78.7304,0
4,1,1,1,10000,1,1,1,277,11,0,0,0,1,0,nan,4,0.531149,0.00123813,1.704,0,4.71026,1,0,35.5029,62.603,0
4,1,1,1,10000,1,1,1,277,12,1,0,0,1,1,4.54502e-08,4,0.508658,0.00107595,1.731,6.7404,64.7813,1,10,155.542,90.9813,0
4,1,1,1,10000,1,1,1,277,13,0,0,0,1,0,nan,4,0.507276,0.00103488,1.62,0,4.88573,1,0,35.5029,62.6066,0
4,1,1,1,10000,1,1,1,277,14,1,0,0,1,1,6.48287e-06,4,0.522971,0.00111324,1.656,7.515,12.8611,1,1,140.566,81.4024,0
4,1,1,1,10000,1,1,1,277,15,0,0,0,1,0,nan,4,0.515044,0.00103159,1.765,0,6.15405,1,0,35.5029,62.6057,0
4,1,1,1,10000,1,1,1,277,16,1,0,0,1,1,4.20845e-06,4,-2.20078,0.00109355,1.828,7.372,13.3869,1,1,137.955,80.6792,0
4,1,1,1,10000,1,1,1,277,17,1,0,0,1,1,2.63346e-06,4,0.521543,0.00112945,1.673,7.7425,18.8214,1,2,139.25,85.8549,0
