num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,analytical_lift_enabled,failure_pruning_enabled,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,outer_candidates_considered,outer_candidates_pruned,outer_ocp_attempts,uncrossable_failure
4,1,1,1,10000,1,1,1,1,1,3277,61,0,0,0,1,0,nan,4,0.339892,0.000729446,1.312,0,11.4311,1,0,35.5029,62.603,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,62,1,0,0,1,1,2.71301e-06,4,0.328905,0.000758593,1.295,5.881,16.798,1,1,140.192,81.3981,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,63,1,0,0,1,1,7.24472e-05,4,0.322933,0.000776862,1.279,5.886,17.5678,1,1,139.061,82.5445,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,64,0,0,0,1,0,2.52482e+11,4,0.326733,0.000776205,1.25,0,16.8519,1,0,35.5518,1572.01,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,65,1,0,0,1,1,6.74284e-05,4,0.321468,0.000866057,1.255,5.86275,34.5133,1,4,190.424,90.4564,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,66,1,0,0,1,1,8.73878e-05,4,0.320279,0.00077783,1.251,5.7815,22.7051,1,2,147.929,88.1394,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,67,0,0,0,1,0,nan,4,0.324147,0.000690557,1.265,0,12.1096,1,0,35.5029,62.603,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,68,0,0,0,1,0,nan,4,0.354035,0.000846654,1.306,0,11.5993,1,0,35.5029,62.6042,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,69,1,0,0,1,1,7.12985e-05,4,0.322065,0.000672611,1.349,6.005,19.1751,1,1,140.302,82.8475,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,70,1,0,0,1,1,3.28574e-06,4,0.331602,0.000812935,1.384,5.951,18.6575,1,1,137.832,82.2288,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,71,1,0,0,1,1,2.25123e-06,4,0.35348,0.000805743,1.336,5.892,18.9383,1,1,138.208,79.9206,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,72,1,0,0,1,1,7.84861e-05,4,0.318443,0.000723998,1.246,5.24333,42.8697,1,6,153.354,84.9691,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,73,1,0,0,1,1,3.78199e-05,4,0.335772,0.00086478,1.259,4.689,26.2246,1,3,147.999,85.9742,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,74,1,0,0,1,1,6.52721e-05,4,0.327612,0.000750405,1.239,5.69591,74.0338,1,11,196.808,96.3118,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,75,1,0,0,1,1,8.27716e-05,4,0.317773,0.00072385,1.252,5.784,29.752,1,3,161.941,88.4411,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,76,1,0,0,1,1,6.46645e-05,4,0.317089,0.000731846,1.233,5.74883,46.0857,1,6,144.298,86.7845,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,77,0,0,0,1,0,2.52416e+11,4,0.316747,0.00073711,1.236,0,19.4011,1,0,35.5512,1574.95,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,78,1,1,1,1,1,6.862e-05,4,0.327145,0.000786288,1.268,5.664,95.9482,1,15,137.838,82.31,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,79,1,0,0,1,1,6.71548e-05,4,0.324334,0.000946918,1.227,5.52,71.8853,1,11,203.459,93.7608,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,80,1,0,0,1,1,2.54741e-06,4,0.316211,0.000801351,1.246,5.77,19.7382,1,1,137.787,81.456,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,81,0,0,0,1,0,nan,4,0.318784,0.000717699,1.259,0,13.4114,1,0,35.5029,62.5994,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,82,0,0,0,1,0,2.5249e+11,4,0.322714,0.000750412,1.24,0,20.3433,1,0,35.5507,1572.65,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,83,1,0,0,1,1,6.97689e-05,4,0.317579,0.000871032,1.256,5.71171,52.7214,1,7,171.779,89.1672,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,84,1,0,0,1,1,6.38606e-05,4,0.315524,0.000726804,1.313,5.7284,42.5797,1,5,137.944,82.3183,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,85,0,0,0,1,0,nan,4,0.318473,0.000763461,1.242,0,13.7901,1,0,35.5029,62.604,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,86,0,0,0,1,0,2.52424e+11,4,0.31302,0.000778268,1.293,0,20.9879,1,0,35.5517,1572.62,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,87,1,0,0,1,1,6.69333e-05,4,0.322214,0.000738592,1.28,5.79025,36.5439,1,4,168.267,90.2046,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,88,0,0,0,1,0,nan,4,0.327813,0.000762434,1.245,0,15.176,1,0,35.5029,62.601,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,89,1,0,0,1,1,4.74967e-06,4,0.325928,0.00073484,1.262,5.81633,32.3603,1,3,147.476,88.4199,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,90,1,0,0,1,1,6.56709e-05,4,0.315659,0.000756108,1.298,5.44,83.6887,1,13,201.703,95.3668,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,91,1,0,0,1,1,6.52589e-05,4,0.317303,0.000767076,1.335,5.797,32.354,1,3,166.633,88.4866,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,92,0,0,0,1,0,2.5232e+11,4,0.32062,0.000771234,1.281,0,24.6589,1,0,35.5594,1586.03,1,0,1,0
