4,1,1,1,10000,1,1,1,1,0,1277,0,1,0,0,1,1,6.23457e-07,4,0.346924,0.000977149,1.211,5.998,7.81492,1,1,40.99,66.4913,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,1,0,0,0,1,0,2.52192e+11,4,0.334242,0.000899558,1.21,0,8.43077,1,0,35.5574,1581.96,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,2,1,1,1,1,1,6.50355e-05,4,0.361945,0.000974478,1.318,6.09027,91.8708,1,15,138.773,82.7279,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,3,1,0,0,1,1,6.06873e-05,4,0.334138,0.000997723,1.257,5.83271,42.6825,1,7,157.922,87.1396,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,4,1,0,0,1,1,7.50007e-05,4,0.337717,0.000740391,1.289,6.14733,20.4365,1,3,176.735,91.0298,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,5,0,0,0,1,0,2.52223e+11,4,0.337124,0.000823605,1.512,0,9.91086,1,0,35.5573,1579.68,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,6,1,0,0,1,1,1.89002e-08,4,0.337152,0.000705757,1.36,5.4125,13.406,1,2,187.679,88.0099,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,7,1,0,0,1,1,6.29432e-05,4,0.343841,0.000926887,1.281,6.212,21.0825,1,3,200.637,90.8535,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,8,1,0,0,1,1,6.05891e-05,4,0.346927,0.000921843,1.251,6.2325,15.6292,1,2,172.532,87.488,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,9,0,0,0,1,0,nan,4,0.332586,0.000853807,1.292,0,3.27547,1,0,35.5029,62.6037,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,10,1,0,0,1,1,3.26278e-06,4,0.336178,0.00078061,1.252,6.105,9.61868,1,1,137.831,82.2465,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,11,0,0,0,1,0,2.52351e+11,4,0.326389,0.000750846,1.328,0,9.12949,1,0,35.5517,1574.18,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,12,1,0,0,1,1,6.31058e-05,4,0.332077,0.000806281,1.291,6.26633,22.7484,1,3,174.991,88.6689,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,13,1,0,0,1,1,2.46213e-06,4,-0.308757,0.000863369,1.269,6.315,10.3142,1,1,137.781,82.0344,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,14,0,0,0,1,0,2.52451e+11,4,0.351997,0.000765931,1.266,0,10.2552,1,0,35.5588,1583.35,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,15,1,0,0,1,1,6.26677e-05,4,0.332011,0.00140727,1.266,6.24667,22.5275,1,3,149.257,88.7353,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,16,1,0,0,1,1,6.37486e-05,4,0.336257,0.000822073,1.263,6.203,16.8634,1,2,149.95,85.425,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,17,0,0,0,1,0,2.52304e+11,4,0.374388,0.000834122,1.261,0,10.2373,1,0,35.5579,1569.93,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,18,1,0,0,1,1,6.46439e-05,4,0.359392,0.00092968,1.252,6.16443,47.4822,1,7,147.831,89.1204,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,19,0,0,0,1,0,nan,4,0.395887,0.000824098,1.359,0,5.05802,1,0,35.5029,62.6032,1,0,1,0,0
4,1,1,1,10000,1,1,1,1,0,1277,20,1,0,0,1,1,6.55387e-05,4,0.344089,0.000802503,1.284,6.4825,17.5713,1,2,214.612,91.7957,1,0,1,0,0
