num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,config_timed_out
4,1,1,1,10000,1,1,1,42,0,0,0,0,1,0,nan,4,1.15516,0.0413386,2.082,0,68.8322,1,0,34.3057,62.6054,0
4,1,1,1,10000,1,1,1,42,1,1,0,0,1,1,6.91495e-06,4,1.37507,0.0924811,1.788,6.9395,73.2056,1,2,48.9156,68.9246,0
4,1,1,1,10000,1,1,1,42,2,0,0,0,1,0,nan,4,0.951967,0.0358178,1.758,0,76.3264,1,0,34.3057,62.605,0
4,1,1,1,10000,1,1,1,42,3,1,0,0,1,1,7.13313e-06,4,1.11278,0.0378676,2.034,8.79867,123.771,1,6,44.8409,68.2815,0
4,1,1,1,10000,1,1,1,42,4,0,0,0,1,0,nan,4,1.11211,0.0400409,1.838,0,88.9079,1,0,34.3057,62.6072,0
4,1,1,1,10000,1,1,1,42,5,0,0,0,1,0,nan,4,0.99736,0.037628,1.752,0,45.1567,1,0,34.3057,62.6055,0
4,1,1,1,10000,1,1,1,42,6,1,0,0,1,1,5.39414e-08,4,1.11392,0.0406137,2.045,6.6088,153.647,1,5,43.6327,68.3776,0
4,1,1,1,10000,1,1,1,42,7,0,0,0,1,0,nan,4,1.0221,0.0359673,1.824,0,64.4041,1,0,34.3057,62.6066,0
4,1,1,1,10000,1,1,1,42,8,1,0,0,1,1,4.08821e-06,4,1.20176,0.0538901,1.942,7.212,80.5082,1,1,48.3182,66.637,0
4,1,1,1,10000,1,1,1,42,9,0,0,0,1,0,nan,4,1.06742,0.0456192,2.063,0,59.1182,1,0,34.3057,62.6044,0
# all params at 1 with timeout 300
