num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,analytical_lift_enabled,failure_pruning_enabled,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,outer_candidates_considered,outer_candidates_pruned,outer_ocp_attempts,uncrossable_failure,config_timed_out
4,1,1,1,10000,1,1,1,0,0,277,33,1,0,0,1,1,8.70568e-06,4,0.334272,0.000756138,1.265,7.166,14.5666,1,1,137.97,82.2112,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,34,1,0,0,1,1,7.05375e-05,4,0.350094,0.000764811,1.319,6.18825,31.8703,1,4,188.887,92.0785,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,35,0,0,0,1,0,nan,4,0.364534,0.000940417,1.275,0,6.97943,1,0,35.5029,62.6051,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,36,1,0,0,1,1,6.36277e-05,4,0.36717,0.000928208,1.247,6.109,43.9433,1,6,201.665,90.7779,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,37,0,0,0,1,0,2.52224e+11,4,0.345544,0.000834383,1.25,0,13.327,1,0,35.5593,1577.41,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,38,0,0,0,1,0,nan,4,0.326057,0.0007719,1.252,0,7.91473,1,0,35.5029,62.6017,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,39,0,0,0,1,0,nan,4,0.351977,0.000945652,1.318,0,8.80866,1,0,35.5029,62.6048,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,40,1,0,0,1,1,2.5702e-06,4,0.389287,0.000860009,1.331,6.426,14.4774,1,1,137.805,79.2857,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,41,1,0,0,1,1,3.14801e-05,4,0.341811,0.000759509,1.264,5.7504,66.4176,1,10,205.709,94.0582,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,42,0,0,0,1,0,nan,4,0.366023,0.000991829,1.321,0,8.56325,1,0,35.5029,62.6032,1,0,1,0,0
