num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,config_timed_out
4,1,1,1,10000,1,0,1,42,0,0,0,0,1,0,nan,4,1.03271,0.0481324,1.829,0,51.8622,1,0,34.3057,62.6054,1
4,1,1,1,10000,1,0,1,42,1,0,0,0,1,0,nan,4,1.14931,0.0425877,1.776,0,213.175,1,0,34.3057,62.6064,1
4,1,1,1,10000,1,0,1,42,2,0,0,0,1,0,nan,4,1.37186,0.0998771,1.808,0,121.373,1,0,34.3057,62.605,1
4,1,1,1,10000,1,0,1,42,3,0,0,0,1,0,nan,4,1.03591,0.038838,1.721,0,35.3274,1,0,34.3057,62.6079,1
4,1,1,1,10000,1,0,1,42,4,0,0,0,1,0,nan,4,1.08026,0.0400257,1.8,0,95.4668,1,0,34.3057,62.6072,1
4,1,1,1,10000,1,0,1,42,5,0,0,0,1,0,nan,4,1.01888,0.0401473,1.789,0,73.6882,1,0,34.3057,62.6055,1
4,1,1,1,10000,1,0,1,42,6,0,0,0,1,0,nan,4,1.0255,0.037468,1.793,0,68.7302,1,0,34.3057,62.6088,1
4,1,1,1,10000,1,0,1,42,7,0,0,0,1,0,nan,4,1.00851,0.0385024,1.712,0,67.292,1,0,34.3057,62.6066,1
4,1,1,1,10000,1,0,1,42,8,1,0,0,1,1,5.4318e-06,4,1.01685,0.0408098,2.272,6.143,170.453,1,5,37.9721,62.6143,1
4,1,1,1,10000,1,0.5,1,1042,0,0,0,0,1,0,nan,4,1.02377,0.0383864,1.658,0,24.8644,1,0,34.3057,62.6054,0
4,1,1,1,10000,1,0.5,1,1042,1,0,0,0,1,0,1.15405e+10,4,1.13705,0.0412668,1.627,0,88.7071,1,0,34.3256,480.013,0
4,1,1,1,10000,1,0.5,1,1042,2,1,0,0,1,1,1.0139e-05,4,1.02883,0.0373422,1.62,6.699,136.015,1,1,81.7554,68.7127,0
4,1,1,1,10000,1,0.5,1,1042,3,0,0,0,1,0,1.1355e+10,4,0.953836,0.0385387,1.55,0,86.7422,1,0,34.3915,480.314,0
4,1,1,1,10000,1,0.5,1,1042,4,0,0,0,1,0,nan,4,0.989697,0.0521286,1.629,0,107.984,1,0,34.3057,62.6046,0
4,1,1,1,10000,1,0.5,1,1042,5,1,0,0,1,1,4.71672e-05,4,0.967399,0.0443589,1.61,6.709,130.634,1,1,69.657,68.5169,0
4,1,1,1,10000,1,0.5,1,1042,6,1,0,0,1,1,4.08086e-05,4,0.955875,0.0382603,1.58,6.508,122.202,1,2,53.0044,68.2005,0
4,1,1,1,10000,1,0.5,1,1042,7,0,0,0,1,0,nan,4,0.996225,0.0365837,1.704,0,39.0907,1,0,34.3057,62.6077,0
4,1,1,1,10000,1,0.5,1,1042,8,0,0,0,1,0,nan,4,1.0306,0.0376106,1.876,0,69.1229,1,0,34.3057,62.6069,0
4,1,1,1,10000,1,0.5,1,1042,9,0,0,0,1,0,nan,4,-1.46719,0.0387508,1.659,0,77.7392,1,0,34.3057,62.6052,0
4,1,1,1,10000,1,1,1,2042,0,0,0,0,1,0,nan,4,1.00633,0.0373584,1.64,0,34.6569,1,0,34.3057,62.6061,0
4,1,1,1,10000,1,1,1,2042,1,0,0,0,1,0,nan,4,1.00308,0.0369128,1.624,0,157.066,1,0,34.3057,62.6034,0
4,1,1,1,10000,1,1,1,2042,2,0,0,0,1,0,nan,4,0.995764,0.0532637,1.597,0,45.829,1,0,34.3057,62.6061,0
4,1,1,1,10000,1,1,1,2042,3,0,0,0,1,0,nan,4,0.98614,0.0374955,1.754,0,72.521,1,0,34.3057,62.6052,0
4,1,1,1,10000,1,1,1,2042,4,1,0,0,1,1,1.06463e-05,4,0.979677,0.042451,1.591,6.697,179.853,1,1,47.1097,66.5416,0
4,1,1,1,10000,1,1,1,2042,5,0,0,0,1,0,nan,4,1.05858,0.037711,1.693,0,110.358,1,0,34.3057,62.6061,0
4,1,1,1,10000,1,1,1,2042,6,0,0,0,1,0,nan,4,0.993759,0.0386934,1.684,0,66.942,1,0,34.3057,62.606,0
4,1,1,1,10000,1,1,1,2042,7,0,0,0,1,0,nan,4,1.03627,0.0395869,1.664,0,61.7768,1,0,34.3057,62.6039,0
4,1,1,1,10000,1,1,1,2042,8,0,0,0,1,0,nan,4,1.00523,0.038863,1.703,0,116.362,1,0,34.3057,62.608,0
4,1,1,1,10000,1,1,1,2042,9,0,0,0,1,0,nan,4,1.0326,0.0374244,1.716,0,45.3608,1,0,34.3057,62.6033,0
4,1,1,1,10000,1,1.5,1,3042,0,0,0,0,1,0,2.63115e+11,4,0.997548,0.0378528,1.598,0,60.0242,1,0,34.3064,1059.81,0
4,1,1,1,10000,1,1.5,1,3042,1,0,0,0,1,0,2.62128e+11,4,-1.46344,0.0370109,1.74,0,68.1578,1,0,34.3137,1058.1,0
